,service_name,description,user_symptoms,vendor,year
612,Amazon CloudWatch (Ireland),"11:55 AM PST We can confirm increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on metrics extracted using log filters.  We are are working towards resolution.12:49 PM PST We can confirm increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on metrics extracted using log filters. We have isolated the likely root cause to a subsystem that saw an unexpected jump in resource consumption.  We continue to work towards resolution. 1:52 PM PST We have implemented a fix to address the CloudWatch log event processing delays in the EU-WEST-1 Region and are starting to see signs of recovery. We will provide an update once full recovery has been observed. 2:56 PM PST Between 10:26 AM and 02:40 PM PST, we experienced increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the EU-WEST-1 Region. This was due to a subsystem that saw an unexpected jump in resource consumption. The issue has been resolved and the service is operating normally. New events are processing as normal, while we work through the message backlog. We expect to completely drain the backlog over the next 1 hour.",[RESOLVED] Delayed CloudWatch Metrics,AWS,2022
345,Amazon CloudWatch (N. Virginia)," 9:38 AM PST We are investigating increased error rates with the CloudWatch GetMetricStatistics and GetMetricData APIs when requesting metrics older than 3 hours in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if the period of the alarm is longer than 3 hours. Querying metrics less than 3 hours as well as publishing metrics remains unimpacted.10:42 AM PST Between 7:59 AM and 10:05 AM PST, we experienced increased error rates with the CloudWatch GetMetricStatistics and GetMetricData APIs when requesting metrics older than 3 hours in the US-EAST-1 Region. CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if the period of the alarm was longer than 3 hours. Querying metrics less than 3 hours as well as publishing metrics were unimpacted. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased CloudWatch API error rates,AWS,2020
506,Amazon Elastic Load Balancing (Ireland),"12:36 PM PDT Between 9:55 AM and 12:25 PM PDT, customers experienced intermittent delays in the availability of CloudWatch metrics for load balancers in the EU-WEST-1 Region. Connectivity to load balancers was not affected. The issue has been resolved and the service is operating normally.",[RESOLVED] Delayed CloudWatch Metrics,AWS,2017
391,Amazon CloudWatch (US-West), 5:07 AM PST We are investigating increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-GOV-WEST-1 Region. 5:39 AM PST We continue to investigate increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-GOV-WEST-1 Region. 6:21 AM PST We have identified the cause of increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-GOV-WEST-1 Region and continue to work towards resolution. 7:02 AM PST We have remediated the increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-GOV-WEST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated API Faults and Alarm Delays,AWS,2019
211,Amazon CloudWatch (Hong Kong),"10:09 AM PST We are investigating increased faults and latencies for CloudWatch Metrics PutMetricData and CloudWatch Logs PutLogEvents APIs in the AP-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.10:45 AM PST We can confirm increased faults and latencies for CloudWatch Metrics PutMetricData and CloudWatch Logs PutLogEvents APIs in the AP-EAST-1 Region, we are actively working to resolve the issue.10:52 AM PST We can confirm recovery for the CloudWatch Logs PutLogEvents API and continue to work towards recovery for the Metrics PutMetricsData API in the AP-EAST-1 Region. 11:04 AM PST Between 09:15 AM and 10:51 AM PST, some customers experienced elevated faults when calling CloudWatch Metrics PutMetricData and CloudWatch Logs PutLogEvents APIs in the AP-EAST-1 Region. Some metrics were delayed, CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state, and some metric data may be missing. The issue is resolved and the service is operating normally.",[RESOLVED] Increased Faults and Latencies,AWS,2020
249,Amazon CloudWatch (N. Virginia),"10:18 PM PST We can confirm increased error rates for CloudWatch Logs Insights queries in the US-EAST-1 Region. Customers running queries using the StartQuery API may not be able to successfully schedule the query execution. Log events continue to be available through the CloudWatch Logs GetLogEvents and FilterLogEvents APIs. We are actively working to resolve the issue.11:02 PM PST We have identified the cause of the increased error rates for CloudWatch Logs Insights queries in the US-EAST-1 Region. Customers running queries using the StartQuery API may not be able to successfully schedule the query execution. Log events continue to be available through the CloudWatch Logs GetLogEvents and FilterLogEvents APIs. We continue to work towards resolution.Mar 4, 12:13 AM PST We have resolved the increased error rates for CloudWatch Logs Insights queries in the US-EAST-1 Region. The Logs Insights system is currently processing data starting from 8:25 PM PST until now to make it available to query. Until that process completes, customers running Logs Insights queries using the CloudWatch console or the SDK may not be able to see that data from that time period. We continue to work towards full resolution.Mar 4,  2:40 AM PST We have resolved the increased error rates for CloudWatch Logs Insights queries in the US-EAST-1 Region. The Logs Insights system is currently processing data starting from March 3 8:25 PM PST until now to make it available to query. Until that process completes, customers running Logs Insights queries using the CloudWatch console or the SDK may not be able to see that data from that time period. We have identified the issue and continue to work towards full resolution.Mar 4,  6:40 AM PST Between March 3, 8:25 PM and March 4, 6:17 AM PST, some customers experienced increased delays for log events in query results in CloudWatch Logs Insights in the US-EAST-1 Region. We are in the process of backfilling the data. We have resolved the issue and the service is operating normally.",[RESOLVED] Elevated query error rates and delays for CloudWatch Logs Insights in US-EAST-1 Region,AWS,2020
677,Amazon CloudWatch (Tokyo)," 9:39 AM PDT AP-NORTHEAST-1 リージョンにおける CloudWatch Logs API のエラー率とレイテンシーの増加を調査しています。現在この問題の解決に取り組んでいます。 | We are investigating increased error rates and latencies for CloudWatch Logs APIs in the AP-NORTHEAST-1 Region. We are actively working to resolve the issue.10:04 AM PDT AP-NORTHEAST-1 リージョンにおける API エラー率の上昇およびログイベントの遅延を確認しています。現在この問題の解決に取り組んでいます。| We can confirm elevated API error rates and some delayed log events in AP-NORTHEAST-1 Region. We are actively working to resolve the issue.10:39 AM PDT AP-NORTHEAST-1 リージョンにおける API エラー率の上昇およびログイベントの遅延の原因を特定しました。復旧の兆候を確認しており、解決に向け引き続き対応を行っています。 | We have identified the root cause of the elevated API error rates and some delayed log events in the AP-NORTHEAST-1 Region. We are beginning to see signs of recovery and continue working towards resolution.12:07 PM PDT AP-NORTHEAST-1 リージョンにおける CloudWatch Logs API のエラー率とレイテンシーの増加について引き続き調査および解決に取り組んでいます。| We continue to work on investigating and resolving increased error rates and latencies for CloudWatch Logs APIs in the AP-NORTHEAST-1 Region. 2:28 PM PDT AP-NORTHEAST-1 リージョンにおける CloudWatch Logs API のエラー率とレイテンシーの上昇を解消すると予測される緩和策の実施を完了しました。エラー率の改善が見られる一方で引き続き高い水準のレイテンシーを確認しており、完全な解決に向け引き続き対応を行っています。 | We have completed a mitigation strategy that we anticipated would resolve the increased error rates and latencies for CloudWatch Logs APIs in the AP-NORTHEAST-1 Region. While we have seen some recovery in error rates, we continue to see elevated levels of latency and continue working towards full resolution. 3:42 PM PDT AP-NORTHEAST-1 リージョンにおける CloudWatch Logs API のレイテンシー上昇と残存しているエラーの解消のため、第二の緩和策の展開を行なっております。解決に向け引き続き対応を行っております。 | We are deploying a second mitigation strategy to resolve elevated latency and the remaining level of errors for CloudWatch Logs APIs in the AP-NORTHEAST-1 Region. We continue working towards recovery. 5:05 PM PDT 日本時間 2021/07/14 23:01 から 2021/07/15 08:20 の間、AP-NORTHEAST-1 リージョンにおける CloudWatch Logs API のエラー率とレイテンシーの上昇が発生しておりました。この問題は解決し、現在サービスは正常に動作しています。 | Between 7:01 AM and 4:20 PM PDT we experienced increased error rates and latencies for CloudWatch Logs APIs in the AP-NORTHEAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] エラー率およびレイテンシーの上昇 | Increased Error rates and Latencies,AWS,2022
507,Amazon CloudWatch (Ireland)," 6:18 AM PDT We are investigating increased faults and latencies for CloudWatch APIs and metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 6:43 AM PDT Between 5:15 AM PDT and 6:31 AM PDT, some customers experienced elevated faults when calling CloudWatch APIs in the EU-WEST-1 Region. Some metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. Delayed metrics are in the process of backfilling in CloudWatch console graphs and for API retrieval. The issue has been resolved and the service is operating normally.",[RESOLVED] Elevated API faults and latencies in EU-WEST-1,AWS,2017
289,Amazon Elastic Compute Cloud (N. California)," 6:09 PM PDT Between 4:38 PM and 5:35 PM PDT a small number of instances were unavailable due to power loss in a single Availability Zone (usw1-az1)  in the US-WEST-1 Region. Those customers received notification on their Personal Health Dashboard. During this time, some customers also experienced insufficient-data in the results from EC2 instance status checks for instances that were not impacted by the power event. During this time, CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if set on the delayed metrics. The issue has been resolved and the service is operating normally. ", [RESOLVED] Instance Connectivity and Instance Status Check Metrics,AWS,2020
68,Amazon Elastic Compute Cloud (Ohio),"12:57 PM PDT Between 11:47 AM and 12:33 PM PDT we experienced degraded performance for some EBS volumes in the US-EAST-2 Region. During this time, some customers also experienced insufficient-data in the results from EC2 instance status checks. CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if set on the delayed metrics. EC2 instances operated normally during this time; only EC2 CloudWatch metrics were affected. The issue has been resolved and the service is operating normally.",[RESOLVED] Degraded Volume Performance for EBS Volumes / Insufficient-Data for EC2 Instance Status Checks,AWS,2020
